Datum;Uhrzeit;exemplary_load
02.11.2016;12:30:00;1,716.00
02.11.2016;12:45:00;3,361.60
02.11.2016;13:00:00;3,106.40
02.11.2016;13:15:00;3,027.20
02.11.2016;13:30:00;3,828.00
02.11.2016;13:45:00;5,007.20
02.11.2016;14:00:00;4,268.00
02.11.2016;14:15:00;2,015.20
02.11.2016;14:30:00;2,543.20
02.11.2016;14:45:00;-1,126.40
02.11.2016;15:00:00;-2,481.60
02.11.2016;15:15:00;1,892.00
02.11.2016;15:30:00;519.2
02.11.2016;15:45:00;1,883.20
02.11.2016;16:00:00;2,798.40
02.11.2016;16:15:00;1,619.20
02.11.2016;16:30:00;2,728.00
02.11.2016;16:45:00;-105.6
02.11.2016;17:00:00;-1,144.00
02.11.2016;17:15:00;237.6
02.11.2016;17:30:00;1,812.80
02.11.2016;17:45:00;3,000.80
02.11.2016;18:00:00;2,208.80
02.11.2016;18:15:00;2,499.20
02.11.2016;18:30:00;158.4
02.11.2016;18:45:00;1,416.80
02.11.2016;19:00:00;2,490.40
02.11.2016;19:15:00;2,384.80
02.11.2016;19:30:00;3,414.40
02.11.2016;19:45:00;2,481.60
02.11.2016;20:00:00;-554.4
02.11.2016;20:15:00;-132
02.11.2016;20:30:00;1,540.00
02.11.2016;20:45:00;2,666.40
02.11.2016;21:00:00;2,569.60
02.11.2016;21:15:00;4,294.40
02.11.2016;21:30:00;5,192.00
02.11.2016;21:45:00;6,661.60
02.11.2016;22:00:00;6,353.60
02.11.2016;22:15:00;4,373.60
02.11.2016;22:30:00;3,652.00
02.11.2016;22:45:00;3,062.40
02.11.2016;23:00:00;-536.8
02.11.2016;23:15:00;-35.2
02.11.2016;23:30:00;-1,100.00
02.11.2016;23:45:00;-853.6
03.11.2016;00:00:00;-1,372.80
03.11.2016;00:15:00;-422.4
03.11.2016;00:30:00;-1,161.60
03.11.2016;00:45:00;-1,434.40
03.11.2016;01:00:00;-844.8
03.11.2016;01:15:00;-853.6
03.11.2016;01:30:00;-2,402.40
03.11.2016;01:45:00;-2,411.20
03.11.2016;02:00:00;-906.4
03.11.2016;02:15:00;-290.4
03.11.2016;02:30:00;-730.4
03.11.2016;02:45:00;1,179.20
03.11.2016;03:00:00;2,296.80
03.11.2016;03:15:00;4,408.80
03.11.2016;03:30:00;5,640.80
03.11.2016;03:45:00;5,852.00
03.11.2016;04:00:00;6,538.40
03.11.2016;04:15:00;5,948.80
03.11.2016;04:30:00;5,412.00
03.11.2016;04:45:00;5,297.60
03.11.2016;05:00:00;6,459.20
03.11.2016;05:15:00;6,916.80
03.11.2016;05:30:00;8,650.40
03.11.2016;05:45:00;7,356.80
03.11.2016;06:00:00;8,034.40
03.11.2016;06:15:00;9,257.60
03.11.2016;06:30:00;10,718.40
03.11.2016;06:45:00;12,170.40
03.11.2016;07:00:00;12,988.80
03.11.2016;07:15:00;13,525.60
03.11.2016;07:30:00;14,308.80
03.11.2016;07:45:00;14,907.20
03.11.2016;08:00:00;15,144.80
03.11.2016;08:15:00;15,901.60
03.11.2016;08:30:00;15,312.00
03.11.2016;08:45:00;15,435.20
03.11.2016;09:00:00;14,722.40
03.11.2016;09:15:00;13,930.40
03.11.2016;09:30:00;13,631.20
03.11.2016;09:45:00;13,701.60
03.11.2016;10:00:00;14,608.00
03.11.2016;10:15:00;14,414.40
03.11.2016;10:30:00;15,171.20
03.11.2016;10:45:00;16,359.20
03.11.2016;11:00:00;16,702.40
03.11.2016;11:15:00;16,808.00
03.11.2016;11:30:00;17,160.00
03.11.2016;11:45:00;17,494.40
03.11.2016;12:00:00;17,001.60
03.11.2016;12:15:00;17,010.40
03.11.2016;12:30:00;16,526.40
03.11.2016;12:45:00;16,860.80
03.11.2016;13:00:00;16,808.00
03.11.2016;13:15:00;16,702.40
03.11.2016;13:30:00;16,156.80
03.11.2016;13:45:00;16,086.40
03.11.2016;14:00:00;16,359.20
03.11.2016;14:15:00;16,130.40
03.11.2016;14:30:00;15,998.40
03.11.2016;14:45:00;14,986.40
03.11.2016;15:00:00;14,652.00
03.11.2016;15:15:00;14,546.40
03.11.2016;15:30:00;14,819.20
03.11.2016;15:45:00;14,977.60
03.11.2016;16:00:00;14,986.40
03.11.2016;16:15:00;15,100.80
03.11.2016;16:30:00;15,004.00
03.11.2016;16:45:00;14,863.20
03.11.2016;17:00:00;14,889.60
03.11.2016;17:15:00;14,810.40
03.11.2016;17:30:00;15,012.80
03.11.2016;17:45:00;15,232.80
03.11.2016;18:00:00;14,942.40
03.11.2016;18:15:00;13,798.40
03.11.2016;18:30:00;13,736.80
03.11.2016;18:45:00;13,376.00
03.11.2016;19:00:00;13,076.80
03.11.2016;19:15:00;12,161.60
03.11.2016;19:30:00;12,196.80
03.11.2016;19:45:00;11,765.60
03.11.2016;20:00:00;12,091.20
03.11.2016;20:15:00;11,730.40
03.11.2016;20:30:00;11,149.60
03.11.2016;20:45:00;11,000.00
03.11.2016;21:00:00;10,876.80
03.11.2016;21:15:00;10,445.60
03.11.2016;21:30:00;9,477.60
03.11.2016;21:45:00;8,958.40
03.11.2016;22:00:00;8,659.20
03.11.2016;22:15:00;9,187.20
03.11.2016;22:30:00;9,363.20
03.11.2016;22:45:00;9,222.40
03.11.2016;23:00:00;8,377.60
03.11.2016;23:15:00;7,022.40
03.11.2016;23:30:00;6,978.40
03.11.2016;23:45:00;7,788.00
04.11.2016;00:00:00;7,964.00
04.11.2016;00:15:00;8,747.20
04.11.2016;00:30:00;8,800.00
04.11.2016;00:45:00;8,439.20
04.11.2016;01:00:00;8,342.40
04.11.2016;01:15:00;7,436.00
04.11.2016;01:30:00;4,241.60
04.11.2016;01:45:00;3,520.00
04.11.2016;02:00:00;6,248.00
04.11.2016;02:15:00;6,591.20
04.11.2016;02:30:00;4,778.40
04.11.2016;02:45:00;3,819.20
04.11.2016;03:00:00;4,796.00
04.11.2016;03:15:00;5,799.20
04.11.2016;03:30:00;6,177.60
04.11.2016;03:45:00;6,450.40
04.11.2016;04:00:00;6,010.40
04.11.2016;04:15:00;6,846.40
04.11.2016;04:30:00;7,321.60
04.11.2016;04:45:00;6,978.40
04.11.2016;05:00:00;6,327.20
04.11.2016;05:15:00;7,304.00
04.11.2016;05:30:00;6,116.00
04.11.2016;05:45:00;5,649.60
04.11.2016;06:00:00;4,884.00
04.11.2016;06:15:00;6,925.60
04.11.2016;06:30:00;8,817.60
04.11.2016;06:45:00;9,873.60
04.11.2016;07:00:00;11,079.20
04.11.2016;07:15:00;12,003.20
04.11.2016;07:30:00;11,492.80
04.11.2016;07:45:00;10,507.20
04.11.2016;08:00:00;12,416.80
04.11.2016;08:15:00;15,074.40
04.11.2016;08:30:00;14,968.80
04.11.2016;08:45:00;14,986.40
04.11.2016;09:00:00;15,039.20
04.11.2016;09:15:00;14,942.40
04.11.2016;09:30:00;15,056.80
04.11.2016;09:45:00;15,074.40
04.11.2016;10:00:00;14,625.60
04.11.2016;10:15:00;14,801.60
04.11.2016;10:30:00;15,725.60
04.11.2016;10:45:00;15,655.20
04.11.2016;11:00:00;16,033.60
04.11.2016;11:15:00;16,456.00
04.11.2016;11:30:00;15,056.80
04.11.2016;11:45:00;13,323.20
04.11.2016;12:00:00;13,455.20
04.11.2016;12:15:00;14,194.40
04.11.2016;12:30:00;14,916.00
04.11.2016;12:45:00;15,276.80
04.11.2016;13:00:00;15,074.40
04.11.2016;13:15:00;14,616.80
04.11.2016;13:30:00;14,713.60
04.11.2016;13:45:00;14,326.40
04.11.2016;14:00:00;14,124.00
04.11.2016;14:15:00;14,300.00
04.11.2016;14:30:00;13,860.00
04.11.2016;14:45:00;14,168.00
04.11.2016;15:00:00;14,344.00
04.11.2016;15:15:00;14,106.40
04.11.2016;15:30:00;13,895.20
04.11.2016;15:45:00;13,728.00
04.11.2016;16:00:00;13,279.20
04.11.2016;16:15:00;12,390.40
04.11.2016;16:30:00;11,730.40
04.11.2016;16:45:00;11,096.80
04.11.2016;17:00:00;9,257.60
04.11.2016;17:15:00;8,606.40
04.11.2016;17:30:00;9,416.00
04.11.2016;17:45:00;9,644.80
04.11.2016;18:00:00;10,868.00
04.11.2016;18:15:00;11,413.60
04.11.2016;18:30:00;10,621.60
04.11.2016;18:45:00;11,616.00
04.11.2016;19:00:00;11,360.80
04.11.2016;19:15:00;12,003.20
04.11.2016;19:30:00;11,985.60
04.11.2016;19:45:00;10,604.00
04.11.2016;20:00:00;8,509.60
04.11.2016;20:15:00;7,172.00
04.11.2016;20:30:00;7,876.00
04.11.2016;20:45:00;9,512.80
04.11.2016;21:00:00;8,289.60
04.11.2016;21:15:00;7,664.80
04.11.2016;21:30:00;6,749.60
04.11.2016;21:45:00;8,263.20
04.11.2016;22:00:00;7,084.00
04.11.2016;22:15:00;6,626.40
04.11.2016;22:30:00;6,195.20
04.11.2016;22:45:00;5,816.80
04.11.2016;23:00:00;7,691.20
04.11.2016;23:15:00;6,679.20
04.11.2016;23:30:00;5,711.20
04.11.2016;23:45:00;5,614.40
05.11.2016;00:00:00;5,887.20
05.11.2016;00:15:00;5,156.80
05.11.2016;00:30:00;4,875.20
05.11.2016;00:45:00;4,857.60
05.11.2016;01:00:00;4,347.20
05.11.2016;01:15:00;3,599.20
05.11.2016;01:30:00;3,009.60
05.11.2016;01:45:00;4,980.80
05.11.2016;02:00:00;4,620.00
05.11.2016;02:15:00;4,743.20
05.11.2016;02:30:00;4,716.80
05.11.2016;02:45:00;1,416.80
05.11.2016;03:00:00;1,874.40
05.11.2016;03:15:00;2,015.20
05.11.2016;03:30:00;2,024.00
05.11.2016;03:45:00;2,411.20
05.11.2016;04:00:00;3,273.60
05.11.2016;04:15:00;2,596.00
05.11.2016;04:30:00;334.4
05.11.2016;04:45:00;1,249.60
05.11.2016;05:00:00;1,320.00
05.11.2016;05:15:00;1,038.40
05.11.2016;05:30:00;950.4
05.11.2016;05:45:00;3,713.60
05.11.2016;06:00:00;4,505.60
05.11.2016;06:15:00;4,954.40
05.11.2016;06:30:00;5,183.20
05.11.2016;06:45:00;5,869.60
05.11.2016;07:00:00;5,948.80
05.11.2016;07:15:00;5,473.60
05.11.2016;07:30:00;5,051.20
05.11.2016;07:45:00;4,822.40
05.11.2016;08:00:00;4,241.60
05.11.2016;08:15:00;4,470.40
05.11.2016;08:30:00;3,440.80
05.11.2016;08:45:00;3,256.00
05.11.2016;09:00:00;4,426.40
05.11.2016;09:15:00;4,558.40
05.11.2016;09:30:00;5,420.80
05.11.2016;09:45:00;6,855.20
05.11.2016;10:00:00;7,356.80
05.11.2016;10:15:00;7,612.00
05.11.2016;10:30:00;7,400.80
05.11.2016;10:45:00;7,312.80
05.11.2016;11:00:00;7,268.80
05.11.2016;11:15:00;7,814.40
05.11.2016;11:30:00;8,879.20
05.11.2016;11:45:00;8,879.20
05.11.2016;12:00:00;9,134.40
05.11.2016;12:15:00;9,345.60
05.11.2016;12:30:00;9,196.00
05.11.2016;12:45:00;8,870.40
05.11.2016;13:00:00;8,404.00
05.11.2016;13:15:00;6,732.00
05.11.2016;13:30:00;5,790.40
05.11.2016;13:45:00;4,496.80
05.11.2016;14:00:00;5,596.80
05.11.2016;14:15:00;6,274.40
05.11.2016;14:30:00;7,057.60
05.11.2016;14:45:00;5,614.40
05.11.2016;15:00:00;5,579.20
05.11.2016;15:15:00;5,728.80
05.11.2016;15:30:00;5,227.20
05.11.2016;15:45:00;4,074.40
05.11.2016;16:00:00;4,162.40
05.11.2016;16:15:00;4,523.20
05.11.2016;16:30:00;3,845.60
05.11.2016;16:45:00;4,048.00
05.11.2016;17:00:00;5,623.20
05.11.2016;17:15:00;4,892.80
05.11.2016;17:30:00;5,174.40
05.11.2016;17:45:00;5,042.40
05.11.2016;18:00:00;5,060.00
05.11.2016;18:15:00;3,212.00
05.11.2016;18:30:00;3,951.20
05.11.2016;18:45:00;5,007.20
05.11.2016;19:00:00;4,496.80
05.11.2016;19:15:00;1,812.80
05.11.2016;19:30:00;2,411.20
05.11.2016;19:45:00;2,648.80
05.11.2016;20:00:00;2,032.80
05.11.2016;20:15:00;1,214.40
05.11.2016;20:30:00;-1,619.20
05.11.2016;20:45:00;-1,707.20
05.11.2016;21:00:00;-3,106.40
