,input_data,target,method,best_params,train_score_static,train_score_dynamic,test_score_static,test_socre_dynamic,forecast_horizon
0,Only_time_params,exemplary_data,ARIMAX,"(1, 1, 1)",1153.56210384823,3396.882900781408,769.8714270191231,2948.31468177691,24
1,Only_time_params,exemplary_data,ANN,relu,1153.56210384823,8218.278889423278,769.8714270191231,7427.134391360361,24
2,Only_time_params,exemplary_data,ANN,0.1,1153.56210384823,8218.278889423278,769.8714270191231,7427.134391360361,24
3,Only_time_params,exemplary_data,ANN,"(50, 50, 50)",1153.56210384823,8218.278889423278,769.8714270191231,7427.134391360361,24
4,Only_time_params,exemplary_data,ANN,0.001,1153.56210384823,8218.278889423278,769.8714270191231,7427.134391360361,24
